0,1,2,3,4,5,6,7,8,9,10,11,12
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"February 19, 1952",?,"Near Yaounde, Cameroon",STAAP,?,?,Consolidated  32 Liberator II,F-BEFX,12,9   (passengers:5  crew:4),9   (passengers:5  crew:4),0,?
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"February 28, 1952",?,"Uberlandia,  Brazil",Panair do Brasil,?,Rio de Janeiro - Guiana,Douglas DC-3A,PP-PCN,3284,8   (passengers:6  crew:2),8   (passengers:6  crew:2),0,The right wing struck trees after attempting a go-around. Pilot error.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 03, 1952",08:10,"Nice, France",Air France,?,Nice - Paris,SNCASE Languedoc,F-BCUM,43,38   (passengers:34  crew:4),38   (passengers:34  crew:4),0,"After taking off, the plane was observed turning to the left until it turned on its back and crashed. Malfunction of ailerons. The gear chain of the co-pilot's control column slipped off the sprocket and jammed the aileron controls."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 10, 1952",?,"Cebu, Philippines",Philippine Air Lines,?,Cebu - Hoilo,Douglas C-47A-35-DL,PI-C5,9754,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,"While taking off, the cargo plane, carrying a light load of freight, lost altitude and crashed into a house."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 12, 1952",?,"Near Sequin, Texas",Military - U.S. Air Force / U.S. Air Force,?,Training,Boeing B-29 / Boeing B-29,?,?,15   (passengers:0  crew:15),15   (passengers:0  crew:15),?,"While on a training mission and flying blind on instruments the planes collided. One plane struck the ground and disintegrated. The other glided down several miles away, exploded and burned. Both planes crashed on ranches several miles apart about 18 miles from San Antonio . Six killed on one plane and seven on the other."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 22, 1952",14:00,"Near Gaspe, Quebec, Canada",Maritime Central Airways,?,St. Johns - Goose Bay,Douglas C-47-DL,CF-BXZ,4695,4   (passengers:3  crew:1),4   (passengers:3  crew:1),0,"The cargo plane disappeared en route. Found on August 27, 1953."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 22, 1952",10:45,"Frankfurt, Germany",KLM Royal Dutch Airlines,?,Rome - Frankfort,Douglas DC-6,PH-TPJ,43111/102,47   (passengers:37  crew:10),45   (passengers:36  crew:9),0,"Crashed and burst into flames two miles short of the runway in rain and fog during the approach. Cause unknown. The aircraft was named ""Koningin Juliana."""
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 24, 1952",03:10,"Near Gao, French West Africa",Société Aérienne de Tr. Tropicaux,?,"Gao, FWA - Nice, France",Lockheed 18 Lodestar,F-ARTE,2005,21   (passengers:18  crew:3),17   (passengers:14  crew:3),0,Crashed after taking off. Pilot failed to maintain altitude after taking off for reasons unknown. May have been pilot fatigue.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 26, 1952",?,"Moscow, Russia",Aeroflot,?,?,?,?,?,70   (passengers:?  crew:?),70   (passengers:?  crew:?),0,The plane overshot the runway and collided with a military aircraft killing at least 70 people.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 29, 1952",?,"Near San Felipe, Venezuela",TACA,?,Maiquetia - San Felipe,Douglas DC-3,YV-C-AZU,?,12   (passengers:9  crew:3),12   (passengers:9  crew:3),0,Crashed into the summit on Cerro Grande Mountain.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 30, 1952",?,"Baguio, Philippines",Philippine Air Lines,?,?,Douglas DC-3,PI-C270,13808,29   (passengers:26  crew:3),10   (passengers:8  crew:2),0,Crashed during takeoff. The plane hit an unidentified obstruction on the runway and the wheels collapsed.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 05, 1952",08:25,"New York, New York",US Airlines,4-2,"Raliegh, NC - New York, NY",Curtiss C-46F-1-CU,N1911M,22464,2   (passengers:0  crew:2),2   (passengers:0  crew:2),3,Violent engine surges and turbulence during a missed ILS approach caused the crew to loose control of the aircraft and crash at 171st St. and 89th Ave. in Queens. The no.1 engine fuel feed valve diaphragm  failed due to deterioration.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 09, 1952",08:07,"Mihara Volcano, Japan",Japan Air Lines,?,Tokyo - Osaka,Martin 202,N93043,9164,37   (passengers:33  crew:4),37   (passengers:33  crew:4),0,"On an early morning flight, under instrument conditions, the crew flew the route segment from Tokyo to Oshima Island 1,000 ft. below the minimum instrument altitude.  At Oshima Island the aircraft crashed into the side of Mihara volcano."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 10, 1952",?,"Agartala, India",Kalinga Airlines,?,?,Douglas C-47A,VT-DFN,13628,4   (passengers:0  crew:4),4   (passengers:0  crew:4),0,"The cargo plane, carrying a load of tea,  crashed while taking off after losing an engine and attempting an emergency landing."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 11, 1952",12:20,"North of San Juan, Puerto Rico",Pan American World Airways,526A,San Juan - New York City,Douglas DC-4,N88899,10503,69   (passengers:64  crew:5),52   (passengers:52  crew:0),0,"After taking off from Isle Grande Airport the crew had engine problems.The aircraft then crashed into the Atlantic Ocean. The ditching took place in turbulent seas. The tail broke off on impact and the aircraft stayed afloat for only 3 minutes and sank.  The company's inadequate maintenance in not changing the No. 3 engine which resulted in its failure immediately subsequent to takeoff and the persistent action of the captain in attempting to re-establish a climb, without using all available power, following the critical loss of power to another engine. This resulted in a nose-high attitude, progressive loss of air speed and the settling of the aircraft at too low an altitude to effect recovery. The aircraft was named Clipper Endeavor."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 18, 1952",03:34,"Near Whittier, California",North Continental Airlines (Robin Airlines),416W,"Kansas City, MO - Phoenix - Burbank",Curtiss C-46F-1CU,N8404C,22466,29   (passengers:26  crew:3),29   (passengers:26  crew:3),0,"The plane was on a flight from New York City to Burbank, California. Due to poor visibility and fog, the flight was diverted to Los Angeles Airport for an ILS approach. While on approach, the plane crashed into the Puente Hills and burned. The pilot voluntarily descended below the minimum altitude for which he was cleared and attempted an approach at too low an altitude to clear the terrain. The pilot in command was flying with a restricted medical certificate. An emergency suspension was placed on the airline and it was discovered the airline had allegations of more than 40 violations listed against it including charges of overweight planes, excessive flying time for crews and failure to use approved seats and safety belts."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 29, 1952",04:40,"Near Carolina, Brazil",Pan American World Airways,202,Rio de Janeiro - New York City,Boeing 377-10-26 Stratocruiser,N1039V,15939/12,50   (passengers:41  crew:9),50   (passengers:41  crew:9),0,"The flight crashed into the jungle about 887 nm NNW of Rio de Janerio. Separation of the propeller blade leading to separation of the No. 2 engine due to highly unbalance forces, leading to the distintegration of the aircraft. The aircraft was named ""Clipper Good Hope."""
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 30, 1952",?,"Delhi,  India",Deccan Airways,?,Madras - Delhi,Douglas DC-3,VT-AUN,13405,9   (passengers:5  crew:4),9   (passengers:5  crew:4),0,Lost an engine while on approach and crashed. Fuel starvation caused when the plane banked to make a turn and the tank being used had very little fuel in it.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 05, 1952",?,"Near Skien, Norway",Fred Olsen Flyveselskap,?,"Amsterdam, Netherlands - Jarsberg, Norway",Douglas C-47A,LN-NAD,12148,29   (passengers:26  crew:3),11   (passengers:8  crew:3),0,"Crashed on a mountain slope while en route. There were mainly whaling crews aboard, returning from the antarctic. Crew navigational error."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 09, 1952",?,"Ipoh, Malaysia",Garuda Indonesia Airlines,?,?,Douglas DC-3,PK-DPA,42954,17   (passengers:?  crew:?),17   (passengers:?  crew:?),0,Crashed shortly after taking off.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 13, 1952",?,"Sao Paulo, Brazil",VASP,?,Sao Paulo - Bauru,Douglas DC-3,PP-SPM,16894/34151,22   (passengers:19  crew:3),5   (passengers:3  crew:2),0,Crashed while attempting to make an emergency landing after experiencing an engine failure. Failure of the port engine due to accessory drive failure. Failure of the starboard engine due to seizure as a result of deficient maintenance. Error on the part of the crew in lowering the landing gear in emergency conditions.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 24, 1952",?,"Near Manaus, Brazil",Loide Aéreo Nacional,?,?,Curtiss C-46A,PP-LDE,446,6   (passengers:0  crew:6),6   (passengers:0  crew:6),0,"The cargo plane lost an engine while taking off, stalled and crashed. Failure of maintenance staff to remove the flying control locks.  Failure of one engine for reason undetermined."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 26, 1952",08:45,"Near Atar, Mauritania",British Overseas Airways,251,Tripoli - Kano,Handley Page HP-81 Hermes IV,G-ALDN,HP-81/15,18   (passengers:10  crew:8),1   (passengers:0  crew:1),0,"The crew became lost in the desert, ran out of fuel and made a forced landing.  Survivors had to be led by a rescue team 15 miles to an oasis before they could be evacuated.  The co-pilot died 5 days later from head injuries suffered in the accident. Navagational errors by the crew. Improper adjustment of the parameters of the  gyroscopic compass CL2 Gyrosyn by the navigator.  Absence of radio assistance and incorrect use of the compasses. Captain's decision  to use the gyroscopic compass in the place of the magnetic compass which was inoperative. The aircraft was named ""Horus."""
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"June 13, 1952",11:29,Baltic Sea,Swedish Air Force,?,Radio surveillance mission,Douglas DC-3,79001,9001,8   (passengers:5  crew:3),8   (passengers:5  crew:3),0,"Shot down by  a Mig-15 Russian Air Force fighter over the Baltic Sea in international waters while on a radio surveillance mission. Wreckage found 06/17/2003, recovered 03/19/2004."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"June 14, 1952",0949,"Near Brighton, East Sussex, England",Morton Air Services,?,Croydon - Le Mans,Airspeed AS-65 Consul,G-AHFT,2593,8   (passengers:7  crew:1),6   (passengers:5  crew:1),?,Ditched into the English Channel after losing the starboard engine possible due to carborateur icing.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"June 24, 1952",?,"Lakenheath AFB, England",Military - U.S. Air Force,?,?,Boeing B-50 Superfortress,?,?,11   (passengers:?  crew:?),11   (passengers:?  crew:?),0,"After taking off from Larkenhealth AFB, the plane dropped out of a fortress of 10 aircraft and crashed and burned in the countryside between two farms."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"June 25, 1952",?,"Off Northumberland, North Sea",Military - Royal Air Force,?,"Scrampton RAF Station, England",Avro Shackleton MR-1,VP261,?,13   (passengers:11  crew:2),11   (passengers:9  crew:2),0,Crashed into the North Sea near Holy Island while participating in North Atlantic Treaty maneuvers.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 18, 1952",0:00,"Whiting Field, near Milton, Florida",Military - Navy,?,Corpus Christi - Norfork,Fairchild packet (C119 flying boxcar),?,?,46   (passengers:40  crew:6),41   (passengers:37  crew:4),0,"The Marine cargo plane, carrying ROTC students taking part in summer training crashed while taking off after a refueling stop."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 27, 1952",11:46,"Off Rio de Janeiro, Brazil",Pan American World Airways,201,Rio de Janeiro - Buenos Aires,Boeing 377 Stratocruiser,N1030V,15939,27   (passengers:19  crew:8),1   (passengers:1  crew:0),0,A woman was sucked out of the plane . The flight engineer's failure to recognize an unsafe condition of the cabin door despite three completely separate warnings of that condition and the captain's action in continuing flight while pressurized despite the several warnings that the main cabin door was not properly locked.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 12, 1952",?,"Palmeira de Goias, Brazil",Transportes Areos Nacionales,?,Rio Verde - Goiania,Douglas DC-3,PP-ANH,20187,24   (passengers:20  crew:4),24   (passengers:20  crew:4),0,Exploded in midair. A bomb exploded aboard.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 21, 1952",01:00Z,"Off Trapani, Italy",Airwork,?,Blackbushe - Malta - Khartoum,Handley Page HP-81 Hermes 4A,G-ALDF,HP-81/7,57   (passengers:51  crew:6),7   (passengers:1  crew:6),0,After failure of all four engines the plane ditched into the Mediterranean Sea. The initial failure of the No. 1 and 2 engines for reasons unknown.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 26, 1952",07:00,"Near Khewra, West Pakistan",Military - Pakistan Air Force,?,Khewra - Peshawar,Bristol 170 Freighter,G783,?,18   (passengers:?  crew:?),18   (passengers:?  crew:?),0,Crashed shortly after taking off from Khewra. Possible engine failure.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 29, 1952",21:05,"Kosti, Sudan",Phoenix Airlines,?,Juba - Wadi Halfa,Douglas DC-2-115B,ZS-DFW,1322,4   (passengers:0  crew:4),2   (passengers:0  crew:2),0,Extremely bad weather forced the captain of the cargo plane to divert from his original destination. No proper preparation had been made for a possible landing at an alternate airfield prior to commencement of flight. The secondary cause was due to the Captain's attempt to execute a landing at Kosti aerodrome which was not equipped with night landing facilities. The Captain landed on the runway but was unable to align himself with the center line and in consequence ran off the runway and struck a steel windsock support and thereafter struck various obstructions such as trees which lay in the path.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"September 06, 1952",15:40,"Near Farnsborough, England",Private - de Havilland Aircraft,?,?,de Havilland 110,WG235,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),29,"One of two engines of the aircraft fell into a crowd at a performance at the Farnborough air show. The aircraft crashed to the ground 1.5 miles from the grandstands killing the Chief test pilot of de Havilland Aircraft Corporation, John Derry and an observer, Tony Richards. In addition, fifty two people on the ground were killed and over 60 injured. The cause was a structural design fault in the D shaped leading edge section of the wing. When Derry pulled a high G turn, the wing buckled."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"September 10, 1952",?,"San Blas, Panama",SAM Colombia,?,?,Curtiss C-46,?,?,46   (passengers:?  crew:?),46   (passengers:?  crew:?),0,?
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"September 15, 1952",?,"Wadi Halfa, Sudan",Kalinga Airlines,?,?,Douglas C-47A,VT-CGB,9945,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,"A navigational error on the part of the captain. This error was severely aggravated by the lack of proper radio aids from the destination airport, the unserviceability of the aircraft R/T equipment, and to a lesser degree the physical condition of the crew. The secondary cause was the cargo plane coming into close proximity of high ground due to the captains uncertainty of his position."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 05, 1952",16:02,"Skvoritsy, Russia",Aeroflot,376,Minsk - Leningrad,Ilyushin IL-12,L1328,30054,21   (passengers:19  crew:5),21   (passengers:19  crew:5),0,Midair collision with a TC-62 aircraft. ATC error.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 08, 1952",?,"Off Tarbat Ness, Scotland",Military - Royal Air Force,?,?,Avro Shackleton MR-1,VP286,?,14   (passengers:2  crew:12),14   (passengers:2  crew:12),0,Was on air-sea practice when it crashed near Tarbat Ness.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 14, 1952",?,"San Fransisco do Paula, Brazil",Aero Brasil,?,Sao Paulo - Porto Alegre,Douglas DC-3,PP-AXJ,6177,28   (passengers:?  crew:?),14   (passengers:?  crew:?),0,After being cleared to land the aircraft struck high ground and burst int flames. Navigational error in not knowing where the aircraft was located. Poor weather.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 16, 1952",?,"Off Kangnung, South Korea",Military - U.S. Air Force,?,?,Curtiss-Wright C-46D-CU,44-77538,32934,25   (passengers:21  crew:4),25   (passengers:21  crew:4),0,The aircraft crashed into the Sea of Japan while en route. No signs of the wreckage were ever found and only two bodies were recovered when they washed ashore.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 29, 1952",08:30,"Near Flagstaff, Arizona",Military - U.S. Air Force,?,?,Boeing KC-97G Stratofreighter,52-2711,16733,16   (passengers:?  crew:?),16   (passengers:?  crew:?),0,Struck Gray Mountain in poor visibility while en route.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 06, 1952",?,"Lake Chad, Chad",Union Aeromaritime de Transport,?,Fort Lamy - Beirut,Douglas C-54B-1-DC,F-BFVO,10498,6   (passengers:1  crew:5),5   (passengers:1  crew:4),0,?
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 07, 1952",03:00,"Near Summit, Alaska",Military - U.S. Air Force,?,Elmendorf AFB - Big Delta,Fairchild C-119C,51-2560A,10518,19   (passengers:14  crew:5),19   (passengers:14  crew:5),0,"A course deviation led to the aircraft crashing into Mt. McKinley at an elevation of 12,000 ft."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 14, 1952",14:45,"Near Seoul, South Korea",Military - U.S. Air Force,?,?,Fairchild C-119C,51-2551A,?,44   (passengers:37  crew:7),44   (passengers:37  crew:7),0,"Struck a mountain at an elevation of 2,000 ft. as it prepared to land at U.S. military base K-16. The mountains were obscured by low clouds."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 15, 1952",?,"Near Anchorage, Alaska",Military - U.S. Air Force,?,Elemndorf AFB - Kodiak NAS,Fairchild C-119C,51-2570,10528,20   (passengers:15  crew:5),20   (passengers:15  crew:5),0,Disappeared while en route. No trace of the aircraft was ever found.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 17, 1952",?,"Shepard, Montana",Military - U.S. Air Force,?,"Great Falls - Denver, Colorado",Fairchild C-119C-23-FA Flying Boxcar,?,?,16   (passengers:?  crew:?),9   (passengers:?  crew:?),0,"While en route, a propeller failed and punctured the fuselage after which vibrations caused the No. 1 engine to fall off. The pilot attempted to make an emergency landing. The plane crashed and came to rest in a muddy field."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 22, 1952",c 20:15,"Mount Gannett, Alaska",Military - U.S. Air Force,?,?,Douglas C-124A Globemaster,51-107A,464096,52   (passengers:41  crew:11),52   (passengers:41  crew:11),0,"Bound for Elmendorf Air Force Base, the aircraft struck the south slope of Mount Gannett. The plane drifted off course due to high winds. Wreckage found in 06/26/2012"
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 28, 1952",00:50,"Near Tacoma, Washington",Military - U.S. Air Force,?,?,Douglas C-54G (DC-4),?,?,38   (passengers:31  crew:7),37   (passengers:30  crew:7),0,Crashed in poor visibility and fog after diverting to Great Falls. The No. 3 engine failed and the plane crashed into trees approximately 1 mile southwest of the airport. An 8-year old boy was the only survivor.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 06, 1952",?,"Near Sofia, Bugaria",TABSO,?,Sofia - Varna,Lisunov Li-2,?,?,18   (passengers:?  crew:?),18   (passengers:?  crew:?),0,Crashed en route.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 06, 1952",04:40,"Off Bermuda-Kindley Field, Bermuda",Cubana de Aviacion,?,Madrid - Azores - Bermuda - Havana,Douglas DC-4,CU-T397,10319,41   (passengers:33  crew:8),37   (passengers:30  crew:7),0,"Crashed dived into the sea approximately 5 miles from the airport shortly after taking off. Cause unknown. The plane was called ""The Star of the East."""
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 20, 1952",c 06:30,"Moses Lake, Washington",Military - U.S. Air Force,?,?,Douglas C-124A Globemaster,50-100,43238,115   (passengers:105  crew:10),87   (passengers:82  crew:5),0,Within two minutes after takeoff the aircraft began to lose altitude. It crashed and burned into a snow laden field at the end of the airstrip. Failure of the pilot to remove the rudder and elevator locking pin prior to taking off.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 21, 1952",?,"Off Miami, Florida",Rutas Aéreas Nacionales SA,?,?,Curtiss C-46D,YV-C-ARC,33486,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,Disappeared over the Atlantic. Never found.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 22, 1952",?,"Damascus, Syria",Syrian Air,?,?,Douglas DC-3,?,?,?   (passengers:?  crew:?),9   (passengers:?  crew:?),?,?
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 25, 1952",?,"Off Caracas, Venezuela",Avensa,?,?,Douglas DC-3,YV-C-AVX,7391,5   (passengers:?  crew:?),3   (passengers:?  crew:?),0,Lost altitude and ditched near shore after taking off.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 25, 1952",?,"Tehran, Iran",Iran Air,?,Abadan - Tehran,Douglas DC-3,EP-ACJ,9692,29   (passengers:25  crew:4),27   (passengers:23  crew:4),0,Crashed while landing.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 30, 1952",?,"Chinmen Island, Taiwan",Philippine Air Lines,?,?,Douglas DC-3,PI-C38,?,10   (passengers:7  crew:3),2   (passengers:0  crew:2),0,"After takeoff from Laoag an armed man forced his way into the cockpit. He pulled .45-caliber pistol and demanded that the plane be brought to Amoy, in mainland China. The captain took over control from the co-pilot and put the plane into a steep dive. The hijacker did not lose his balance and instead shot and killed the captain. The co-pilot took over control and meanwhile the steward had come up to the cockpit to find out what was going on. As he knocked, the hijacker shot him twice through the cockpit door, killing him. The co-pilot changed course to China and continued at 6000 feet over the China Sea until two Chinese Nationalists T-6 Harvard planes showed up. Both planes chased the DC-3 and sprayed machine gun fire. The pilot managed to escape until he met with other Nationalist planes, who forced the flight to land at Quemoy. At Quemoy the hijacker was arrested."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"January 05, 1953",2139,"Belfast, Northern Ireland",British European Airways,?,Northolt - Belfast,Vickers Viking 610-1B,G-AJDL,262,35   (passengers:31  crew:4),27   (passengers:24  crew:3),0,Crashed into approach lights while attempting to land.  Error of judgement on the part of the pilot.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"January 07, 1953",2055,"Issaquah, Washington",Flying Tiger Line,841,Seattle - Cheyenne - Fort Jackson,Douglas C-54B-10-DO,N86574,18350,7   (passengers:3  crew:4),7   (passengers:3  crew:4),0,"The plane struck a tree on a mountain ridge at an elevation of 1,620 feet. Following impact with the tree the aircraft continued flying and finally struck the ground in a canyon 1,500 feet below and caught fire. The flight's deviation from the established approach procedure."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"January 07, 1953",0412,"Fish Haven, Idaho",Associated Air Transport,1-6-6A,Boeing Field - Cheyenne,Curtiss C-46,N1648M,22395,40   (passengers:37  crew:3),40   (passengers:37  crew:3),0,"The plane crashed into mountains while en route. Upon entering an area of turbulence, the plane was unable to climb and crashed into trees. Found 5 months later. The inadvertent descent into an area of turbulence and icing which resulted in the pilot's inability to regain a safe altitude."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
